Date,Open,High,Low,Close,Adj Close,Volume
2018-07-27,3360.000000,3460.000000,3360.000000,3430.000000,3293.421143,61300
2018-07-30,4130.000000,4130.000000,3935.000000,4050.000000,3888.733154,313600
2018-07-31,3980.000000,4085.000000,3890.000000,4010.000000,3850.326416,158700
2018-08-01,4045.000000,4085.000000,3935.000000,4015.000000,3855.126953,77400
2018-08-02,4020.000000,4255.000000,4005.000000,4065.000000,3903.135986,123200
2018-08-03,4100.000000,4100.000000,3940.000000,4025.000000,3864.728516,78200
2018-08-06,4000.000000,4140.000000,3915.000000,3945.000000,3787.914307,68100
2018-08-07,3945.000000,4035.000000,3790.000000,4000.000000,3840.724609,88000
2018-08-08,3945.000000,4015.000000,3885.000000,3995.000000,3835.923340,44400
2018-08-09,3925.000000,3970.000000,3875.000000,3895.000000,3739.905518,27900
2018-08-10,3875.000000,3960.000000,3860.000000,3895.000000,3739.905518,25200
2018-08-13,3835.000000,3835.000000,3690.000000,3715.000000,3567.072754,24700
2018-08-14,3700.000000,3850.000000,3700.000000,3800.000000,3648.688232,27900
2018-08-15,3750.000000,3875.000000,3720.000000,3780.000000,3629.484131,27700
2018-08-16,3780.000000,3780.000000,3705.000000,3755.000000,3605.479980,22400
2018-08-17,3755.000000,3865.000000,3755.000000,3815.000000,3663.090576,28600
2018-08-20,3820.000000,3820.000000,3685.000000,3690.000000,3543.067871,36700
2018-08-21,3690.000000,3740.000000,3620.000000,3730.000000,3581.475586,30700
2018-08-22,3730.000000,3760.000000,3630.000000,3725.000000,3576.674316,30300
2018-08-23,3730.000000,3845.000000,3730.000000,3760.000000,3610.280762,45300
2018-08-24,3760.000000,3835.000000,3760.000000,3795.000000,3643.887207,18700
2018-08-27,3820.000000,3835.000000,3790.000000,3810.000000,3658.289795,29700
2018-08-28,3810.000000,3830.000000,3780.000000,3805.000000,3653.489014,21900
2018-08-29,3785.000000,3820.000000,3730.000000,3780.000000,3629.484131,24000
2018-08-30,3785.000000,3830.000000,3740.000000,3815.000000,3663.090576,46400
2018-08-31,3870.000000,4070.000000,3810.000000,3945.000000,3787.914307,77600
2018-09-03,3955.000000,4005.000000,3920.000000,3925.000000,3768.710938,26500
2018-09-04,3935.000000,3985.000000,3885.000000,3960.000000,3802.316895,16700
2018-09-05,3965.000000,4030.000000,3920.000000,3965.000000,3807.118164,37400
2018-09-06,3935.000000,3940.000000,3795.000000,3820.000000,3667.891602,27300
2018-09-07,3780.000000,3835.000000,3745.000000,3780.000000,3629.484131,23400
2018-09-10,3850.000000,3850.000000,3760.000000,3780.000000,3629.484131,23100
2018-09-11,3740.000000,3750.000000,3605.000000,3665.000000,3519.063477,51000
2018-09-12,3650.000000,3660.000000,3505.000000,3560.000000,3418.244629,71200
2018-09-13,3540.000000,3635.000000,3520.000000,3600.000000,3456.651855,38000
2018-09-14,3545.000000,3585.000000,3525.000000,3530.000000,3389.439209,35000
2018-09-17,3530.000000,3530.000000,3530.000000,3530.000000,3389.439209,0
2018-09-18,3555.000000,3600.000000,3520.000000,3600.000000,3456.651855,36900
2018-09-19,3610.000000,3655.000000,3585.000000,3640.000000,3495.058838,47400
2018-09-20,3670.000000,3680.000000,3570.000000,3580.000000,3437.448486,22200
2018-09-21,3545.000000,3575.000000,3515.000000,3570.000000,3427.846436,46700
2018-09-24,3570.000000,3570.000000,3570.000000,3570.000000,3427.846436,0
2018-09-25,3575.000000,3630.000000,3570.000000,3610.000000,3466.253662,51800
2018-09-26,3615.000000,3655.000000,3530.000000,3540.000000,3399.040771,61700
2018-09-27,3525.000000,3580.000000,3495.000000,3535.000000,3394.240234,61900
2018-09-28,3540.000000,3580.000000,3515.000000,3530.000000,3389.439209,42400
2018-10-01,3535.000000,3590.000000,3530.000000,3560.000000,3418.244629,31100
2018-10-02,3560.000000,3565.000000,3480.000000,3525.000000,3384.638184,48300
2018-10-03,3515.000000,3540.000000,3485.000000,3495.000000,3355.833008,59700
2018-10-04,3500.000000,3530.000000,3440.000000,3450.000000,3312.624756,27400
2018-10-05,3415.000000,3455.000000,3385.000000,3435.000000,3298.221924,72200
2018-10-08,3435.000000,3435.000000,3435.000000,3435.000000,3298.221924,0
2018-10-09,3405.000000,3430.000000,3335.000000,3380.000000,3245.412109,47900
2018-10-10,3450.000000,3510.000000,3415.000000,3475.000000,3336.629639,32600
2018-10-11,3390.000000,3460.000000,3325.000000,3410.000000,3274.217529,42400
2018-10-12,3475.000000,3550.000000,3410.000000,3505.000000,3365.434814,46300
2018-10-15,3600.000000,3635.000000,3515.000000,3525.000000,3384.638184,62100
2018-10-16,3525.000000,3530.000000,3390.000000,3425.000000,3288.620117,29400
2018-10-17,3535.000000,3550.000000,3460.000000,3510.000000,3370.235596,32400
