Score,Scored by,Popularity Rank,Rating Rank,Members,Date
8.53,"473,626",34,932,"821,381",Sat Mar 09 2019 10:12:25 GMT-0500 (Eastern Standard Time)
8.53,"473,858",34,932,"821,925",Sun Mar 10 2019 09:27:11 GMT-0400 (Eastern Daylight Time)
8.53,"474,096",34,932,"822,412",Mon Mar 11 2019 03:41:47 GMT-0400 (Eastern Daylight Time)
8.53,"474,211",34,932,"822,714",Mon Mar 11 2019 21:22:22 GMT-0400 (Eastern Daylight Time)
8.53,"474,262",34,932,"822,842",Tue Mar 12 2019 03:40:08 GMT-0400 (Eastern Daylight Time)
8.53,"474,461",34,932,"823,230",Wed Mar 13 2019 04:29:44 GMT-0400 (Eastern Daylight Time)
8.53,"475,040",34,942,"824,448",Sat Mar 16 2019 15:12:37 GMT-0400 (Eastern Daylight Time)
8.53,"475,040",34,942,"824,466",Sat Mar 16 2019 16:05:39 GMT-0400 (Eastern Daylight Time)
8.53,"475,200",34,942,"824,798",Sun Mar 17 2019 09:24:26 GMT-0400 (Eastern Daylight Time)
8.53,"475,789",34,942,"826,069",Wed Mar 20 2019 05:19:45 GMT-0400 (Eastern Daylight Time)
8.53,"476,061",34,942,"826,686",Thu Mar 21 2019 19:06:54 GMT-0400 (Eastern Daylight Time)
8.53,"476,318",34,942,"827,198",Sat Mar 23 2019 02:34:01 GMT-0400 (Eastern Daylight Time)
8.53,"476,340",34,942,"827,232",Sat Mar 23 2019 04:56:43 GMT-0400 (Eastern Daylight Time)
8.53,"476,340",34,942,"827,244",Sat Mar 23 2019 05:10:04 GMT-0400 (Eastern Daylight Time)
8.53,"476,570",34,942,"827,738",Sun Mar 24 2019 10:51:00 GMT-0400 (Eastern Daylight Time)
8.53,"476,894",34,942,"828,407",Mon Mar 25 2019 20:34:13 GMT-0400 (Eastern Daylight Time)
8.53,"477,174",34,942,"828,967",Wed Mar 27 2019 06:38:33 GMT-0400 (Eastern Daylight Time)
8.53,"477,740",34,952,"830,139",Sat Mar 30 2019 08:10:15 GMT-0400 (Eastern Daylight Time)
8.53,"478,067",34,952,"830,783",Sun Mar 31 2019 19:36:59 GMT-0400 (Eastern Daylight Time)
8.53,"478,634",34,952,"831,905",Wed Apr 03 2019 07:56:55 GMT-0400 (Eastern Daylight Time)
8.53,"478,800",34,952,"832,207",Wed Apr 03 2019 23:00:28 GMT-0400 (Eastern Daylight Time)
8.53,"478,840",34,952,"832,297",Thu Apr 04 2019 02:51:05 GMT-0400 (Eastern Daylight Time)
8.53,"479,183",34,952,"832,998",Fri Apr 05 2019 18:11:28 GMT-0400 (Eastern Daylight Time)
8.53,"479,870",34,962,"834,439",Mon Apr 08 2019 13:15:50 GMT-0400 (Eastern Daylight Time)
8.53,"479,961",34,962,"834,601",Mon Apr 08 2019 20:17:15 GMT-0400 (Eastern Daylight Time)
8.53,"480,017",34,962,"834,727",Tue Apr 09 2019 00:53:54 GMT-0400 (Eastern Daylight Time)
8.53,"480,116",34,962,"834,892",Tue Apr 09 2019 12:43:25 GMT-0400 (Eastern Daylight Time)
8.53,"480,328",34,962,"835,314",Wed Apr 10 2019 08:08:23 GMT-0400 (Eastern Daylight Time)
8.53,"480,367",34,962,"835,399",Wed Apr 10 2019 13:22:39 GMT-0400 (Eastern Daylight Time)
8.53,"480,373",34,962,"835,452",Wed Apr 10 2019 16:49:07 GMT-0400 (Eastern Daylight Time)
8.53,"480,699",34,962,"836,092",Fri Apr 12 2019 02:52:15 GMT-0400 (Eastern Daylight Time)
8.53,"480,763",34,962,"836,266",Fri Apr 12 2019 13:32:01 GMT-0400 (Eastern Daylight Time)
8.53,"480,763",34,962,"836,266",Fri Apr 12 2019 13:58:21 GMT-0400 (Eastern Daylight Time)
8.53,"480,767",34,962,"836,282",Fri Apr 12 2019 14:11:45 GMT-0400 (Eastern Daylight Time)
8.53,"480,891",35,962,"836,542",Sat Apr 13 2019 03:16:41 GMT-0400 (Eastern Daylight Time)
